Horses,Firsts,Seconds,Thirds,Starts,WinsPercent,PlacePercent,ROI,PrizeMoney
Fab's Cowboy,10,4,0,21,47.6,66.7,1.43,84490
The Candy Man,9,0,1,16,56.3,62.5,106.25,423450
Oh Why,9,3,2,16,56.3,87.5,37.50,98260
Kolding,8,1,2,12,66.7,91.7,151.67,5129700
Heroism,8,2,1,22,36.4,50.0,10.45,72985
Mr Attitude,8,0,3,14,57.1,78.6,161.79,170100
Kemalpasa,8,2,1,11,72.7,100.0,230.91,427400
Master Jamie,8,1,0,10,80.0,90.0,15.00,158875
Tambo's Mate,7,2,1,13,53.8,76.9,60.38,368150
Daunting Queen,7,2,3,13,53.8,92.3,63.85,75050
Mr Phenomenal,7,1,0,8,87.5,100.0,95.63,69600
Lady Yendor,7,2,1,12,58.3,83.3,82.58,188150
Trystoff,7,1,2,15,46.7,66.7,85.33,98375
Tarbert,7,1,0,13,53.8,61.5,73.08,128350
The Harrovian,7,2,0,9,77.8,100.0,169.44,307900
Begood Toya Mother,7,0,0,8,87.5,87.5,133.13,580850
Knotted,6,2,2,22,27.3,45.5,-0.68,73800
Admiral's Joker,6,3,0,11,54.5,81.8,105.91,429750
Gem Of Scotland,6,2,0,9,66.7,88.9,165.00,415000
Le Juge,6,0,3,17,35.3,52.9,50.29,315025
Bells Tower,6,6,1,18,33.3,72.2,98.89,91810
Borris in Ossory,6,2,3,22,27.3,50.0,36.82,137000
Smuggling,6,3,1,12,50.0,83.3,54.17,106415
Ruby's Reward,6,2,1,12,50.0,75.0,116.67,65080
Deadly Choices,6,2,0,8,75.0,100.0,111.25,124800
Uni Time,6,3,2,11,54.5,100.0,70.00,237830
Alligator Blood,6,1,0,7,85.7,100.0,141.71,927600
Spiritual Warrior,6,2,2,24,25.0,41.7,115.83,382340
Mia Dolce,6,3,1,18,33.3,55.6,6.11,242650
Bold Star,6,3,0,12,50.0,75.0,76.25,215400
Smarty,6,0,1,9,66.7,77.8,51.11,98015
Chamberlain,6,4,0,13,46.2,76.9,280.77,46480
Snippy Strategic,6,3,5,24,25.0,58.3,86.67,46830
Chouxting the Mob,6,2,1,14,42.9,64.3,100.36,256625
Leo's Express,6,1,4,13,46.2,84.6,24.62,58700
Stride Out,6,2,0,16,37.5,50.0,101.56,47398
Wu Gok,6,2,2,16,37.5,62.5,73.13,434090
Polar Vortex,6,1,1,16,37.5,50.0,212.50,147950
Jelani Express,6,0,0,9,66.7,66.7,82.78,56670
Zukaz,6,1,0,15,40.0,46.7,-2.67,45940
Dexter You Devil,6,3,0,15,40.0,60.0,55.67,168500
Song One,5,0,4,21,23.8,42.9,133.33,41115
Dalasan,5,2,0,8,62.5,87.5,230.00,1713595
Maschino Miss,5,1,0,7,71.4,85.7,296.43,101885
Parsifal,5,2,0,9,55.6,77.8,150.00,338925
Something Fast,5,1,0,7,71.4,85.7,602.86,247140
Double You Tee,5,4,0,10,50.0,90.0,143.00,370400
He's a Parker,5,3,0,14,35.7,57.1,62.86,277210
Polar Blast,5,4,0,11,45.5,81.8,8.18,76865
Enough Swagger,5,2,2,11,45.5,81.8,113.64,134700
All Too Royal,5,0,0,8,62.5,62.5,252.50,287000
Harbour Views,5,1,0,6,83.3,100.0,62.83,244200
Mosh Music,5,0,2,8,62.5,87.5,195.63,265750
Secret Blaze,5,1,1,11,45.5,63.6,31.82,420450
Samadoubt,5,2,0,12,41.7,58.3,408.33,825875
Avilius,5,1,0,10,50.0,60.0,41.50,2068500
Love You Lucy,5,0,1,8,62.5,75.0,226.25,139000
Hasta La War,5,3,0,9,55.6,88.9,10.56,124400
Drops of Jupiter,5,2,1,12,41.7,66.7,75.83,37475
O'princess,5,0,1,10,50.0,60.0,68.00,77195
Not to Be Mist,5,0,1,8,62.5,75.0,51.88,169565
Macewen,5,0,2,12,41.7,58.3,69.17,201000
Meet Mr Taylor,5,3,0,10,50.0,80.0,0.50,242175
Airacobra,5,2,1,13,38.5,61.5,-1.54,60850
Pandeia,5,5,2,16,31.3,75.0,4.69,55570
Equal Love,5,1,0,9,55.6,66.7,37.78,173300
Want to Bolt,5,1,0,10,50.0,60.0,41.00,97550
Swift Platinum,5,0,1,13,38.5,46.2,31.54,140750
Moree Dreaming,5,2,2,10,50.0,90.0,185.00,78145
Deep Image,5,1,2,11,45.5,72.7,40.45,316050
Jedaffair,5,1,2,13,38.5,61.5,196.15,248920
Winning Ways,5,0,1,12,41.7,50.0,308.75,534850
Savatoxl,5,1,1,9,55.6,77.8,-7.78,144930
Shampers,5,1,4,13,38.5,76.9,274.62,72325
Bunker Buster,5,1,0,8,62.5,75.0,175.00,145335
Rupture,5,2,0,10,50.0,70.0,140.50,191140
Aiguilette,5,0,2,11,45.5,63.6,131.82,155200
Craiglea Cetina,5,4,4,24,20.8,54.2,86.25,74950
Steel Prince,5,0,0,9,55.6,55.6,180.00,644200
Enterprise Prince,5,1,3,12,41.7,75.0,63.33,163425
Bivouac,5,2,1,10,50.0,80.0,120.00,1359000
Partnership,5,1,1,16,31.3,43.8,57.19,106975
Ashman,5,3,0,10,50.0,80.0,38.50,107595
The Pines,5,1,0,6,83.3,100.0,86.67,88100
Supervisor,5,5,1,18,27.8,61.1,5.56,51300
Picka Plum,5,1,0,9,55.6,66.7,351.11,85850
Montre,5,3,0,19,26.3,42.1,86.84,58820
Firefree,5,1,1,20,25.0,35.0,68.50,201510
Diamond Thunder,5,0,1,7,71.4,85.7,107.14,336465
Excaro,5,1,0,8,62.5,75.0,29.13,58825
Gee Gee Fiorente,5,0,0,10,50.0,50.0,164.00,63175
Gypsy Miss,5,1,1,11,45.5,63.6,23.18,50985
Regal Power,5,4,1,11,45.5,90.9,50.00,1226300
Braccenby,5,3,0,13,38.5,61.5,55.77,66425
Eastender,5,0,1,8,62.5,75.0,125.00,442800
Cruze,5,2,1,12,41.7,66.7,37.50,185000
Parliament,5,2,2,14,35.7,64.3,69.64,94010
Eye Art,5,1,1,14,35.7,50.0,210.71,141055
Bam,5,0,2,11,45.5,63.6,14.09,46085
Al Di La,5,2,0,14,35.7,50.0,340.00,86560
The Inevitable,5,0,0,7,71.4,71.4,282.86,623250
Lord Archer,5,4,2,17,29.4,64.7,58.82,58250
Exaggerate,5,0,3,20,25.0,40.0,49.50,74525
Boncosta,5,3,1,15,33.3,60.0,132.67,106620
Ayham,5,1,0,17,29.4,35.3,217.65,65665
Century Arrow,5,1,1,9,55.6,77.8,18.89,66300
Deroche,5,1,1,8,62.5,87.5,-12.00,196326
Mr Genoa,5,0,0,6,83.3,83.3,114.17,126270
Epic Girl,5,3,2,15,33.3,66.7,18.00,283275
Worldly Pleasure,5,1,0,9,55.6,66.7,350.00,83200
Heavenly Affair,5,4,0,13,38.5,69.2,-2.31,108315
Charossa,5,5,1,16,31.3,68.8,26.56,240050
Zephyr Queen,5,0,2,14,35.7,50.0,210.71,109075
Guise,5,2,2,11,45.5,81.8,155.45,195800
Smooth Hustler,5,1,0,12,41.7,50.0,5.42,35550
Colpo Di Tamburo,5,3,2,15,33.3,66.7,5.67,104100
No Effort,5,0,4,15,33.3,60.0,218.67,210820
Exalted Dee,5,2,3,18,27.8,55.6,131.11,96650
Charles,5,3,0,12,41.7,66.7,22.50,39625
Kopella,5,0,3,12,41.7,66.7,35.83,67350
Come Play With Me,5,3,1,15,33.3,60.0,27.00,850400
Rock Tsar,5,0,1,13,38.5,46.2,203.85,34340
Late Return,5,2,5,22,22.7,54.5,-28.64,26275
Regal Counsel,5,4,0,15,33.3,60.0,14.00,153030
Spirit's Choice,5,1,1,12,41.7,58.3,-8.83,229725
Love Is Blind,5,1,0,7,71.4,85.7,331.43,106600
Benitoite,5,0,0,8,62.5,62.5,218.75,257450
Heaven On Earth,5,1,1,13,38.5,53.8,446.15,88770
Tarzan,5,0,1,8,62.5,75.0,200.63,176525
Warwick Avenue,5,2,1,16,31.3,50.0,35.63,64400
Algadon Miss,5,0,0,9,55.6,55.6,275.56,271350
Archedemus,5,0,0,10,50.0,50.0,43.00,356600
Romakash,5,0,1,15,33.3,40.0,52.00,62375
Mystic Journey,5,1,0,8,62.5,75.0,56.25,3413750
Defiantly,5,0,1,16,31.3,37.5,192.50,91295
Cup Night,5,1,1,7,71.4,100.0,168.57,255500
Rox The Castle,5,2,0,9,55.6,77.8,103.33,339450
Speed Force,5,1,0,9,55.6,66.7,79.44,97150
Not Enough Effort,4,0,1,7,57.1,71.4,121.43,229850
Taxagano,4,3,3,16,25.0,62.5,217.50,280500
Mazzaro,4,2,0,10,40.0,60.0,74.00,75848
Without Conviction,4,0,0,10,40.0,40.0,118.00,55715
Maudy,4,1,1,10,40.0,60.0,50.00,50300
Kay Cee,4,2,1,8,50.0,87.5,401.25,925200
Butter Toast,4,0,1,13,30.8,38.5,43.85,32325
Hashtag Lad,4,0,4,12,33.3,66.7,33.33,30595
Choice Approach,4,0,0,10,40.0,40.0,146.50,51845
Raktoff,4,1,0,8,50.0,62.5,29.38,86235
Maclairey,4,1,3,15,26.7,53.3,174.67,165425
Zap,4,2,2,12,33.3,66.7,149.17,61201
Barachiel,4,3,1,14,28.6,57.1,-5.00,85200
Tatalina,4,0,1,8,50.0,62.5,73.13,51500
Regalo Di Gaetano,4,1,0,9,44.4,55.6,490.00,120400
Keep the Magic,4,3,1,16,25.0,50.0,242.50,31097
All For South,4,0,0,6,66.7,66.7,190.00,51340
Future Score,4,2,1,10,40.0,70.0,181.00,235600
Congomotion,4,1,1,13,30.8,46.2,61.54,29220
Elmo's Fire,4,0,1,12,33.3,41.7,374.17,47050
Assertive Approach,4,1,0,6,66.7,83.3,86.67,221955
Abbi Fede,4,4,3,19,21.1,57.9,-50.79,62725
Marway,4,2,1,11,36.4,63.6,-8.64,116675
General Soho,4,1,0,8,50.0,62.5,182.50,76525
Sugar Dance,4,2,2,16,25.0,50.0,28.13,83070
Contaminated,4,0,1,9,44.4,55.6,37.78,50950
Kubis,4,4,1,15,26.7,60.0,163.33,251500
Humma Humma,4,0,0,10,40.0,40.0,69.00,308030
Victory Vibes,4,1,0,16,25.0,31.3,43.75,53330
Snowchino,4,2,1,13,30.8,53.8,33.85,258980
Vigere,4,3,2,14,28.6,64.3,13.57,133750
Super Seth,4,0,1,7,57.1,71.4,107.14,1416100
Ladyada,4,1,0,7,57.1,71.4,167.14,47550
Kingsgrove,4,3,1,11,36.4,72.7,77.27,49750
Prince of Tie,4,2,1,13,30.8,53.8,50.77,147450
River Flyer,4,2,3,18,22.2,50.0,-7.22,92200
Pasajero,4,2,0,14,28.6,42.9,42.86,43525
Sir Barnabus,4,1,2,17,23.5,41.2,48.24,200175
Capital Connection,4,0,3,10,40.0,70.0,88.50,199450
Bay of Faith,4,0,0,11,36.4,36.4,85.45,20090
Neighbourhood,4,1,0,7,57.1,71.4,49.29,188000
Allspice,4,1,3,19,21.1,42.1,-57.89,51725
Trerice,4,1,3,11,36.4,72.7,-14.09,46300
Zoutori,4,0,2,9,44.4,66.7,43.33,389875
Elixir,4,3,5,15,26.7,80.0,-50.27,109800
Fine Behind,4,0,1,15,26.7,33.3,237.33,51285
Special Reward,4,0,0,6,66.7,66.7,27.50,359900
Lolita Gold,4,1,1,10,40.0,60.0,155.00,75425
Winx,4,0,0,4,100.0,100.0,7.25,3401750
Lady Loft,4,2,1,8,50.0,87.5,202.50,103050
Rock,4,2,0,9,44.4,66.7,7.22,239350
Maria Elisa,4,2,0,11,36.4,54.5,84.55,26285
Bering Sea,4,1,1,11,36.4,54.5,195.00,84450
Flow Meter,4,7,3,29,13.8,48.3,-24.14,168450
Badge of Courage,4,3,4,14,28.6,78.6,7.50,62700
Tisani Magic,4,6,2,16,25.0,75.0,2.50,154650
Six Sigma,4,2,2,11,36.4,72.7,131.36,104300
Ondo Pasa,4,0,4,20,20.0,40.0,53.50,97115
Cooee March,4,5,3,17,23.5,70.6,73.53,60780
Zoutenant,4,1,2,22,18.2,31.8,-42.73,35795
Cryfowl,4,3,1,18,22.2,44.4,-27.78,40705
Aggarwal,4,5,0,14,28.6,64.3,15.00,57775
